07-29 16:24:40.190 I/[APP][Time](27331): Init using time: 58 ms, current time: 1406622280198 ms
07-29 16:24:40.670 I/VOLOG   (27331): /home/vbuild/mod/29204/main/Source/DRM/Verimatrix/AES128/Project/ndk/v6/jni/../../../../../../../../Common/voLog.c::vologInit0x0a030000::122 @#@#log pWorkPath: /data/data/com.visualon.AppUI/lib/
07-29 16:24:40.670 I/VOLOG   (27331): /home/vbuild/mod/29204/main/Source/DRM/Verimatrix/AES128/Project/ndk/v6/jni/../../../../../../../../Common/voLog.c::voLoadModule0x0a030000::287 @#@#log szDll: /data/data/com.visualon.AppUI/lib/libvoLogSys.so
07-29 16:24:40.670 I/VOLOG   (27331): /home/vbuild/mod/29204/main/Source/DRM/Verimatrix/AES128/Project/ndk/v6/jni/../../../../../../../../Common/voLog.c::voLoadModule0x0a030000::308 @#@#log voLoadModule(0x0a030000)(0xb000fa2c, 0x531a6714, 0x531a6728, 0x531a6740, 0x531a6754)
07-29 16:24:40.670 I/VOLOG   (27331): /home/vbuild/mod/29204/main/Source/DRM/Verimatrix/AES128/Project/ndk/v6/jni/../../../../../../../../Common/voLog.c::vologInit0x0a030000::143 @#@#log maxlevel: 4
07-29 16:24:41.050 I/VOLOG   (27331): 16:24:41.058 @@@VOLOG,    Run, 0A030000, 022DE700, DRM_Verimatrix_AES128_Other.cpp, OnSourceDrm, 689, uSequenceNum 0
07-29 16:24:41.050 I/VOLOG   (27331): 16:24:41.058 @@@VOLOG,   Info, 0A030000, 022DE700, DRM_Verimatrix_AES128_Other.cpp, OpenChunkDRMInfo, 901, +lock 6
07-29 16:24:41.050 I/VOLOG   (27331): 16:24:41.059 @@@VOLOG,   Info, 0A030000, 022DE700, DRM_Verimatrix_AES128_Other.cpp, OpenChunkDRMInfo, 903, -lock 6
07-29 16:24:41.050 I/VOLOG   (27331): 16:24:41.059 @@@VOLOG,   Info, 0A030000, 022DE700, DRM_Verimatrix_AES128_Other.cpp, OnSourceDrm, 730, +lock 3
07-29 16:24:41.050 I/VOLOG   (27331): 16:24:41.059 @@@VOLOG,   Info, 0A030000, 022DE700, DRM_Verimatrix_AES128_Other.cpp, OnSourceDrm, 732, -lock 3
07-29 16:24:41.050 I/VOLOG   (27331): 16:24:41.059 @@@VOLOG,    Run, 0A030000, 022DE700, DRM_Verimatrix_AES128_Other.cpp, VerifyVR, 138, VR IsHandshakeVerified+
07-29 16:24:41.050 I/VOLOG   (27331): 16:24:41.059 @@@VOLOG,    Run, 0A030000, 022DE700, DRM_Verimatrix_AES128_Other.cpp, VerifyVR, 140, VR IsHandshakeVerified- 1
07-29 16:24:41.050 I/VOLOG   (27331): 16:24:41.059 @@@VOLOG,   Info, 0A030000, 022DE700, DRM_Verimatrix_AES128_Other.cpp, GetStoreDIR, 275, use default store DIR
07-29 16:24:41.050 I/VOLOG   (27331): 16:24:41.059 @@@VOLOG,   Info, 0A030000, 022DE700, cmnFile.cpp, cmnIsFolderExit, 407, cmnIsFolderExit---pFolderName=/data/data/com.visualon.AppUI/, nRC=0
07-29 16:24:41.050 I/VOLOG   (27331): 16:24:41.059 @@@VOLOG,   Info, 0A030000, 022DE700, DRM_Verimatrix_AES128_Other.cpp, CheckDeviceVCASStatus, 336, VR SetVCASCommunicationHandlerSettings+ /data/data/com.visualon.AppUI/
07-29 16:24:42.450 I/VOLOG   (27331): 16:24:42.465 @@@VOLOG,    Run, 0A030000, 022DE700, DRM_Verimatrix_AES128_Other.cpp, CheckDeviceVCASStatus, 338, VR SetVCASCommunicationHandlerSettings- 0
07-29 16:24:42.450 I/VOLOG   (27331): 16:24:42.465 @@@VOLOG,    Run, 0A030000, 022DE700, DRM_Verimatrix_AES128_Other.cpp, CheckDeviceVCASStatus, 348, VR IsDeviceProvisioned+
07-29 16:24:42.460 I/VOLOG   (27331): 16:24:42.473 @@@VOLOG,    Run, 0A030000, 022DE700, DRM_Verimatrix_AES128_Other.cpp, CheckDeviceVCASStatus, 350, VR IsDeviceProvisioned- 28
07-29 16:24:42.460 I/VOLOG   (27331): 16:24:42.474 @@@VOLOG,   Info, 0A030000, 022DE700, DRM_Verimatrix_AES128_Other.cpp, CheckDeviceVCASStatus, 383, SetupVCASConnection: Device Not Provisioned - 28 - Reprovisioning
07-29 16:24:42.460 I/VOLOG   (27331): 16:24:42.474 @@@VOLOG,    Run, 0A030000, 022DE700, DRM_Verimatrix_AES128_Other.cpp, CheckDeviceVCASStatus, 386, VR ConnectAndProvisionDevice+
07-29 16:24:45.560 I/VOLOG   (27331): 16:24:45.573 @@@VOLOG,    Run, 0A030000, 022DE700, DRM_Verimatrix_AES128_Other.cpp, CheckDeviceVCASStatus, 388, VR ConnectAndProvisionDevice- 0
07-29 16:24:45.560 I/VOLOG   (27331): 16:24:45.573 @@@VOLOG,   Info, 0A030000, 022DE700, DRM_Verimatrix_AES128_Other.cpp, CheckDeviceVCASStatus, 395, SetupVCASConnection: DeviceProvisioning Succeeded
07-29 16:24:45.560 I/VOLOG   (27331): 16:24:45.573 @@@VOLOG,    Run, 0A030000, 022DE700, DRM_Verimatrix_AES128_Other.cpp, CheckDeviceVCASStatus, 397, VR CheckVCASConnection+
